agency,code,description,unit,zone_a,zone_b,zone_c,zone_d
BWDB,60-300-10,150mm dia. 3,,80.87,80.34,80.39,76.29
BWDB,60-300-20,300mm dia,,84.08,83.58,83.58,78.75
BWDB,60-300-25,450mm dia,,88.47,87.95,87.95,82.87
BWDB,60-300-30,500mm dia,,93.21,92.66,92.66,87.31
BWDB,60-300-35,600mm dia,,98.14,97.56,97.56,91.92
BWDB,60-300-40,750mm dia,,122.63,121.91,121.91,114.86
BWDB,60-300-45,"900mm dia. 147,27",,147.27,146.4,146.4,137.94
BWDB,60-300-50,1050mm dia,,174.73,173.69,173.69,163.67
BWDB,60-300-55,1200mm dia,,199.64,198.45,198.45,187.01
BWDB,60-300-60,1350mm dia. 3/,,5.0,5.0,8.0,8.0
BWDB,72-130-10,"2 coats over a priming coat. sqm 260.35 259.30 259.30 248.50 Note: Technical Specification for Civil Works, Specification of Materials and General Instructions for Execution of Wo: must be followed as part of the SoR (Schedule of Rates) for every Ite",no,236.0,72.0,130.0,10.0
BWDB,72-130-20,> coats over old surface.,sqm,249.66,24837.0,248.37,237.08
BWDB,72-250-10,2 coats over a priming coat.,sqm,99.24,96.9,96.31,93.35
BWDB,72-250-20,2 coats over old surface.,sqm,91.23,89.1,88.57,85.87
BWDB,72-550-00,"chisel, steel wire brush, emery cloth,| cach",,2069.97,2069.97,2069.97,1994.51
BWDB,76-170-00,"lrevetting, embedding anchor bars,|",kg,168.65,168.65,168.65,166.38
BWDB,76-190-00,"Manufacturing, supplying and Installation of Padestal type lifting device for slide gate with 63mm dia threaded steel shaft, 146mm outer dia bronze nut, thrust bearing, steel bevel gear etc. as per approved design including supply of all components,",each,110036.33,109888.43,109888.43,108893.9
BWDB,76-200-00,"Manufacturing, supplying and Installation of Hand Wheel type lifting device for slide gate with 63mm dia steel shaft, 108mm outer dia bronze nut taper roller bearing SKF-50216 etc. as per approved design including supply of all components, labours wi",each,60213.88,60102.79,60102.79,59408.89
BWDB,76-230-00,"Manufacturing, supplying, installation and fitting, fixing the vertical steel lift gate/ flap gate as per design and specification, including fabricating, tivetting, welding, fixing rubber seal, providing required nuts and bolts including the cost of",kg,331.69,331.66,331.66,327.45
BWDB,76-240-10,oo yee 0.975m (Vent 0.9m X),each,61394.26,61392.28,61392.28,60825.95
BWDB,76-240-20,a en x 1.275m (Vent 0.9m x} cach,,77260.23,77258.25,77258.25,76642.84
BWDB,76-242-10,Size 105m x 0.975m (Vent 0.9m x! cach,,62055.63,62053.65,62053.65,61487.31
BWDB,76-242-20,nee a x 1.275m (Vent 0.9m x],each,69024.0,69022.01,69022.01,68455.68
BWDB,76-242-30,nee ye 1.275m (Vent 1.0m x! cach,,90658.82,90655.75,90655.75,89888.24
BWDB,76-242-40,sal en x 1.575m (Vent 12m xX},each,94280.16,94277.09,94277.09,93509.58
BWDB,76-242-50,na em x 1.875m (Vent 1.5m x},each,125533.8,125530.73,125530.73,124639.91
BWDB,76-250-10,a a x 105m (Vent 0.9m x! cach,,74009.33,74007.35,74007.35,73441.01
BWDB,76-250-20,a — x 135m (Vent 0.9m x],each,90491.26,90489.28,90489.28,89873.87
BWDB,76-252-10,aa _ x 105m (Vent 0.9m x),each,75048.62,75046.64,75046.64,74480.3
BWDB,76-252-20,nee — x 135m (Vent 0.9m x),each,90352.18,90350.2,90350.2,89783.86
BWDB,76-252-30,oe x 135m (Vent 1.0m x],each,103407.63,103404.56,103404.56,102637.05
BWDB,76-252-40,nz en x 165m (Vent 1.2m X),each,106293.98,106290.91,106290.91,105523.41
BWDB,76-252-50,ia) x 195m (Vent 1.5m x},each,134284.96,134281.89,134281.89,133391.07
BWDB,76-260-10,"Size 1.00m x 1.00m or 1.35m x 1.35m,|",each,12746.36,12617.52,12617.52,12372.11
BWDB,76-260-20,"Size 1.95m x 135m or 1.95mx 1.65m,|",each,14849.48,14677.7,14677.7,14407.75
BWDB,76-270-10,raree Size 195 mx 1.65morl95m) gach,,2774.94,2746.71,2746.71,2658.37
BWDB,76-270-20,Smalll size: 1.35 mx 1.35morl.00m),each,2319.42,2292.92,2292.92,2222.12
BWDB,76-280-00,"drilling holes, welding anchor bars,’ yo",,193.61,193.61,193.61,190.3
BWDB,76-500-00,"SupPlying, fitting and fixing lead sheel] 4, | ogi",,62.0,975.49,975.49,929.47
BWDB,76-510-00,"Supplying, fitting and fixing of M.S. bearing plate (hinge or free) of desired size including cutting to size, fabrication, welding of M.S. lug and M.S. anchor bar around periphery, providing hinge bar, and fixing in abutments/girders/bases etc. comp",kg,403.57,403.38,403.38,402.08
BWDB,76-520-10,3mm thick plate,,31.55,31.36,31.36,29.67
BWDB,76-520-20,6mm thick plate,,43.49,43.25,43.25,41.22
BWDB,76-520-30,9mm thick plate,,49.01,48.75,48.75,46.49
BWDB,76-520-40,12mm thick plate,,59.67,59.35,59.35,56.53
BWDB,76-520-50,15mm thick plate,,85.11,84.6,84.6,80.08
BWDB,76-520-60,18mm thick plate,,103.03,102.39,102.39,96.74
BWDB,76-520-70,20mm thick plate,,111.16,110.46,110.46,104.56
BWDB,76-520-80,25mm thick plate. 5/3/58) 8) 3/ 8/ 3/38,,127.51,126.73,126.73,119.96
BWDB,76-630-10,3 bulb type.,m,819.81,819.04,819.04,812.14
BWDB,76-630-20,Corrugated type.,m,819.81,819.04,819.04,812.14
BWDB,76-640-10,3 bulb type.,m,96.01,95.25,95.25,88.33
BWDB,76-640-20,Corrugated type.,m,96.01,95.25,95.25,88.33
BWDB,76-780-00,length of 900 mm with 40 mm dia 100),each,3931.99,3207.45,3207.45,3084.75
BWDB,80-305,Head Man (Skilled labour),day,800.0,800.0,800.0,800.0
BWDB,80-370,Labour Skilled,day,600.0,600.0,600.0,600.0
BWDB,80-375,Labour Unskilled/Ordinary,day,540.0,540.0,540.0,540.0
BWDB,90-100-10,"Dredging work by 26"" dredger.",cum,163.67,163.57,163.57,163.16
BWDB,90-100-20,"Dredging work by 20"" dredger.",cum,192.85,192.74,192.74,192.32
BWDB,90-100-30,"Dredging work by 18"" dredger.",cum,198.01,197.88,197.87,197.41
BWDB,90-100-50,"Dredging work by 12"" dredger",cum,194.36,194.26,194.25,193.82
BWDB,90-710-10,"For 26"" dredger km",,4686.17,4686.17,4686.17,4686.17
BWDB,90-710-20,"For 20"" dredger km",,4137.21,4137.21,4137.21,4137.21
BWDB,90-710-30,"For 18"" dredger km",,2499.38,2499.38,2499.38,2499.38
BWDB,90-722-05,"For 26"" shore pipe",m,227.07,227.07,227.07,226.25
BWDB,90-722-10,For 20” shore pipe,m,160.28,160.28,160.28,159.7
BWDB,90-722-15,For 18” shore pipe,m,136.24,136.24,136.24,135.75
BWDB,90-725-09,Preparing material by engine boat (,,90.0,725.0,9.0,40.0
BWDB,90-730-00,capacity)/ Truck (,,273.0,90.0,730.0,5.0
BWDB,90-735-00,for a period of 8 hours (one shift)) shift,,3687.22,3687.22,3687.22,3625.86
BWDB,90-740-00,security labour per shift(8 hours) at the},day,6748.65,6625.95,6625.95,6135.13
BWDB,90-745-10,"For 26"" dredger shift",,4417.3,4417.3,4417.3,4270.05
BWDB,90-745-20,"For 20"" dredger shift",,3681.08,3681.08,3681.08,3558.38
BWDB,90-745-30,"For 18"" dredger shift",,2944.86,2944.86,2944.86,2846.7
BWDB,90-820-10,"Construction and dismantelling of 26""| 1,",,1360.7,1812.64,1812.64,1809.72
BWDB,90-820-20,"Construction and dismantelling of 20""| 4, /",,1445.21,1397.15,1397.15,1401.85
BWDB,90-820-30,"Construction and dismantelling of 18"") 4, | j",,994.48,1176.42,1176.42,1184.23
BWDB,90-840-00,Bullah for two side achorage) tying],each,5533.89,5337.57,5337.57,5300.76
BWDB,90-850-10,"Lifting 26"" shore pipe sinked into they 1,",,1400.84,1400.84,1400.84,1364.03
BWDB,90-850-20,"Lifting 20"" shore pipe sinked into the! 4,",,737.33,787.33,787.33,760.75
BWDB,90-850-30,"Lifting 18"" shore pipe sinked into the} 4,",,664.63,664.63,664.63,642.13
BWDB,90-870-10,For 26” dredger,each,72756.56,72756.56,72756.56,70989.64
BWDB,90-870-20,"For 20"" dredger",each,51848.02,51848.02,51848.02,50571.92
BWDB,90-870-30,"For 18"" dredger",each,41923.83,41923.83,41923.83,40844.05
BWDB,04-280-20,,m,70.3,74.28,73.84,73.86
BWDB,46-102-50,,m,1862.68,1906.54,1899.95,1899.95
BWDB,16-200-10,,m,466.76,494.24,488.78,488.78
BWDB,16-230-10,,m,169.28,173.49,172.75,172.75
BWDB,16-250-70,,m,500.15,503.79,503.19,503.19
BWDB,16-370-10,,m,455.84,482.23,476.98,476.98
BWDB,40-110-40,,each,142.13,146.5,144.8,145.07
BWDB,40-470-30,,m,1160.58,1170.36,1170.92,1165.24
BWDB,40-600-10,,no,55.22,55.22,55.22,55.22
BWDB,84-407-60,,m,232.35,233.45,233.23,233.23
BWDB,44-290-30,,m,1725.83,1768.37,1757.08,1757.08
BWDB,10-205-25,,m,250.0,250.0,250.0,250.0
BWDB,20-049-10,,,109.0,109.0,109.0,109.0
BWDB,40-365-16,,m,160.0,160.0,160.0,160.0
BWDB,60-159-67,,kg,15967.6,15967.6,15967.6,15967.6
BWDB,00-950-00,,m,9800.0,9800.0,9800.0,9800.0
BWDB,40-996-15,,no,15.0,15.0,15.0,15.0
BWDB,50-370-12,,m,650.0,650.0,650.0,650.0
BWDB,00-273-00,,day,27300.0,27300.0,27300.0,27300.0
BWDB,70-056-81,,m,1000.0,1000.0,1000.0,1000.0
BWDB,00-195-00,,day,19500.0,19500.0,19500.0,19500.0
BWDB,70-086-52,,day,420.0,420.0,420.0,420.0
BWDB,00-231-00,,day,23100.0,23100.0,23100.0,23100.0
BWDB,70-088-55,,day,550.0,500.0,540.0,500.0
BWDB,70-200-70,,day,700.0,700.0,700.0,700.0
BWDB,00-290-00,,no,29000.0,29000.0,29000.0,29000.0
BWDB,00-370-00,,m,45000.0,45000.0,45000.0,45000.0
BWDB,00-325-00,,no,32500.0,32500.0,32500.0,32500.0
BWDB,00-485-00,,m,5000.0,5000.0,5000.0,5000.0
BWDB,00-127-00,,m,22500.0,22500.0,22500.0,22500.0
BWDB,00-185-00,,m,18500.0,18500.0,18500.0,18500.0
BWDB,10-110-00,,no,12000.0,12000.0,12000.0,12000.0
BWDB,11-120-00,,no,3300.0,3300.0,3300.0,3300.0
BWDB,70-810-42,,m,421.0,421.0,421.0,421.0
BWDB,80-060-17,,day,1760.0,1760.0,1760.0,1760.0
BWDB,80-085-80,,day,800.0,800.0,800.0,750.0
BWDB,80-155-75,,day,700.0,700.0,700.0,650.0
BWDB,80-197-22,,day,1600.0,1600.0,1600.0,1600.0
BWDB,80-375-50,,m,600.0,600.0,600.0,580.0
BWDB,80-482-78,,day,825.0,825.0,825.0,780.0
BWDB,80-490-85,,day,700.0,700.0,700.0,700.0
BWDB,80-535-50,,day,700.0,700.0,700.0,650.0
BWDB,80-605-80,,m,550.0,540.0,540.0,500.0
