agency,code,description,unit,zone_a,zone_b,zone_c,zone_d
BWDB,40-47-30,outer size:,,1250.0,1000.0,1137.6,1138.17
BWDB,40-470-00,cement mixture]| no - - - - no 701.58 701.80 698.93 696.14 no 934.71 934.99 931.01 927.16,no,1250.34,1250.9,1245.21,1240.55
BWDB,40-470-10,Outer size:,,1000.0,800.0,629.43,629.65
BWDB,40-470-20,outer size:1125mmx900mm —geo-| yy | g43.40,,843.67,839.69,835.85,3.0
BWDB,40-480-00,according to EN,,40.0,480.0,12224.0,2000.0
BWDB,40-480-10,Geo Tube: Diameter= 2.5 m,m,6024.42,6054.45,5919.82,5862.3
BWDB,40-480-20,Geo Tube: Diameter= 1.25 m,m,1907.08,1914.58,1880.91,1866.35
BWDB,40-485-10,Geo-Tube: Diameter= 2.5 m,m,6220.74,6250.78,6116.15,6058.62
BWDB,40-485-20,Geo-Tube: Diameter= 1.25 m,m,2005.25,2012.75,1979.07,1964.52
BWDB,40-488-30,Geo-Tube: Diameter= 2.5 m,m,1114.93,1114.92,1114.92,1114.72
BWDB,40-488-60,Geo-Tube: Diameter= 1.25 m,m,555.57,555.55,555.55,555.35
BWDB,40-489-30,Geo-Tube: Diameter=,,40.0,489.0,30.0,2.5
BWDB,40-489-60,Geo-Tube: Diameter=,,40.0,489.0,60.0,1.25
BWDB,40-490-00,"hydraulically with locally available] ™ - - - - sand free from silt and clay, sewing along one transverse (top) side after filling, including carrying, placing in possition in the site as per approved design, cost of all materials & equipments and it",m,419.63,419.37,419.37,417.97
BWDB,40-490-10,Geo Tube: Diameter= 2.5 m,m,2789.24,2788.2,2788.2,2782.46
BWDB,40-490-20,Geo Tube: Diameter= 1.25 m,m,975.2,974.92,974.92,973.32
BWDB,40-495-10,Geo-Tube (Polyester): Diameter= 2.5] 1,,4647.94,4662.44,4532.99,4527.24
BWDB,40-495-20,"Geo-Tube (Polyester): Diameter= 1.25) 4,",,1464.66,1468.28,1435.89,1434.3
BWDB,40-497-10,Filed with local sand free from silt and] ™,,6795.78,6794.76,6794.76,6789.05
BWDB,40-497-15,Geo-Tube (Woven): Diameter=,,40.0,497.0,15.0,2.5
BWDB,40-497-20,Filled with local sand free from silt and] ™,,8562.72,8561.26,8561.26,8553.03
BWDB,40-497-25,Geo-Tube (Woven): Diameter=3.0,m,10726.21,10762.05,10724.75,10716.52
BWDB,40-497-30,Filled with local sand free from silt and} ™,,12485.06,12482.46,12482.46,12467.83
BWDB,40-497-35,Geo-Tube (Woven): Diameter=,,40.0,497.0,35.0,4.0
BWDB,40-50-50,"E°S<=0.06mm, strip tensile} sam",,331.27,331.26,331.26,326.22
BWDB,40-500-00,"service life according to ISO] sqm - - - - 13438:2018, Test of exposure time according to EN 12224 :2000) as filter materials of elongation at maximum force machine direction (MD) >=60% and <= 100 % , elongation at m 8,297.41 | 8,322.29 | 8,296.40 |",m,16331.67,16395.39,16329.06,16314.44
BWDB,40-500-10,"EoS<=0.12mm, strip tensile strength}",sqm,221.76,221.74,221.74,216.71
BWDB,40-500-20,"EoS<=0.11mm, strip tensile strength}",sqm,256.54,256.53,256.53,251.49
BWDB,40-500-30,"EoS<=0.09mm, strip tensile strength] sam",,273.29,273.28,273.28,268.24
BWDB,40-500-40,"EoS<=0.08mm, strip tensile strength",sqm,286.17,286.16,286.16,281.13
BWDB,40-505-10,"Mass => 300 gm/m’, thickness(Under| <4, | 29834 | 228,33",,228.33,223.29,2.0,2.0
BWDB,40-505-20,"Mass => 400 gm/m’, thickness(Under| 54,",,241.22,241.21,241.21,236.17
BWDB,40-505-30,"Mass => 550 gm/m’, thickness(Under| .44",,266.99,266.98,266.98,261.94
BWDB,40-510-10,"Mass >=627 gm/m?, thickness(Under| <1,",,263.73,263.72,263.72,258.68
BWDB,40-520-10,Well graded between 50mm to 20mm),cum,4787.93,4704.44,4775.2,4564.43
BWDB,40-520-20,Well graded between 40mm to 20mm),cum,4914.01,4829.65,4900.41,4683.54
BWDB,40-520-30,8!7°-,cum,5418.55,5330.69,5401.45,5160.17
BWDB,40-530-10,Well graded between 50mm to 20mm) oun,,6134.42,6864.08,5023.54,4997.07
BWDB,40-530-20,Well graded between 40mm to 20mm],cum,6134.42,6864.08,5023.54,4997.07
BWDB,40-530-30,SI7®,cum,7606.86,8336.51,6495.97,6469.5
BWDB,40-540-10,Well graded between 50mm to 20mm),cum,9570.1,9808.94,9011.37,8555.45
BWDB,40-540-20,Well graded between 40mm to 20mm) oy,,9570.1,9808.94,9011.37,8555.45
BWDB,40-540-30,817*:,cum,9815.5,10054.35,9011.37,8555.45
BWDB,40-550-10,JEM : 2.0 to 2.5,cum,2510.59,2427.69,2458.36,2415.1
BWDB,40-550-20,FM : 1.5 to 2.0,cum,2019.78,1945.46,1976.14,1936.56
BWDB,40-550-30,FM : 1.0 to 1.5,cum,1375.59,1344.22,1344.22,1317.52
BWDB,40-560-00,within the site of any protective work},cum,1059.67,1035.5,1035.5,974.08
BWDB,40-570-10,Salvaging of 250 kg geo-bag,no,34.8,34.17,34.17,31.7
BWDB,40-570-15,Salvaging of 200 kg geo-bag,no,29.0,28.48,28.48,26.42
BWDB,40-570-20,Salvaging of 175 kg geo-bag,no,26.06,25.59,25.59,23.74
BWDB,40-570-30,Salvaging of 125 kg geo-bag,no,16.13,15.84,15.84,14.71
BWDB,40-570-40,Salvaging of 110 kg geo-bag,no,14.64,14.38,14.38,13.35
BWDB,40-570-50,Salvaging of 80 kg geo-bag,no,13.16,12.92,12.92,11.99
BWDB,40-580-00,"slopes and berm of the embankment,|",cum,916.87,900.2,900.2,833.52
BWDB,40-600-00,Supplying new gunny bags at site :,nos,50.0,55.22,55.22,55.22
BWDB,40-600-20,Capacity,,75.0,62.58,62.58,62.58
BWDB,40-610-00,Supplying,,168.0,40.0,610.0,2.0
BWDB,40-610-10,Capacity,,50.0,33.74,33.74,33.74
BWDB,40-610-20,Capacity,,75.0,43.19,43.19,43.19
BWDB,40-620-00,Supplying new Synthetic bags at site :,,169.0,40.0,620.0,90.0
BWDB,40-620-10,Capacity 50 kg.,no,23.31,23.31,23.31,23.31
BWDB,40-620-20,Capacity 75 kg.,no,29.45,29.45,29.45,29.45
BWDB,40-630-10,Capacity 50,kg,44.47,11.3,11.3,10.6
BWDB,40-630-20,Capacity 75,kg,18.4,18.11,18.11,16.94
BWDB,40-640-00,"Sewing the end with sutly, including",,40.0,640.0,177.0,7.0
BWDB,40-640-10,CaPacity : 50,kg,14.71,14.54,14.54,13.84
BWDB,40-640-20,Capacity : 75,kg,99.74,22.44,2244.0,21.28
BWDB,40-650-00,"4esign & drawing with sand/ earth) .,. . . . . available at site sewing the end with sutly, including carrying and placing in position within the site with supply Note: Technical Specification for Civil Works, Specification of Materials and Gener: mu",,172.0,40.0,650.0,4.0
BWDB,40-650-10,Capacity :,,50.0,68.61,68.61,68.61
BWDB,40-650-20,bag : 50,kg,47.13,4713.0,47.13,46.75
BWDB,40-650-30,Capacity :,,50.0,36.7,36.7,36.7
BWDB,40-650-40,Capacity :,,75.0,84.21,84.21,84.21
BWDB,40-650-50,me : 75,kg,64.89,64.82,64.82,64.18
BWDB,40-650-60,Capacity : 75,kg,31.08,51.08,51.08,50.44
BWDB,40-660-10,Sand cement new gunny bag(50Kg;| yo,,183.97,183.41,182.68,179.32
BWDB,40-660-20,IKg- sand cement 8:1; Fill vol= 0.026],no,162.5,161.93,161.21,157.85
BWDB,40-660-30,84nd cement new gunny bag(75Kg;) 44 | 25113,,25029.0,249.19,244.15,8.0
BWDB,40-660-40,Kg; sand cement 8:1; Fill vol = 0.031],no,231.74,230.9,229.8,224.76
BWDB,40-670-30,Sand cement new gunny bag (75 Kg),no,271.93,271.09,270.01,264.97
BWDB,40-675-30,Sand cement new gunny bag (75 Ke},no,311.24,310.38,309.39,304.35
BWDB,40-680-10,110 em to 13 em,m,282.22,257.68,257.68,269.95
BWDB,40-680-20,Above 13 cm to 15 cm,m,321.48,321.48,321.48,321.48
BWDB,40-680-30,Above 15 cm to 18 cm,m,380.38,343.57,343.57,368.11
BWDB,40-680-40,Above 18 cm to 20 cm,m,429.46,386.51,386.51,404.92
BWDB,40-680-50,Above 20 cm to 23 cm,m,527.62,472.41,472.41,503.08
BWDB,40-680-60,Above 23 cm.,m,539.89,490.81,490.81,515.35
BWDB,40-690-00,"@te: bullah piles on dry land, by",,177.0,40.0,690.0,4.0
BWDB,40-690-10,110 em to 13 em,m,173.04,169.63,169.63,160.15
BWDB,40-690-20,Above 13 cm to 15 em,m,207.63,203.54,203.54,192.17
BWDB,40-690-30,Above 15 cm to 18 cm,m,235.86,231.22,231.22,218.3
BWDB,40-690-40,Above 18 cm to 20 cm,m,259.55,254.44,254.44,240.23
BWDB,40-690-50,Above 20 cm to 23 cm,m,288.26,282.58,282.58,266.79
BWDB,40-690-60,Above 23 cm.,m,345.97,339.16,339.16,320.21
BWDB,40-700-10,10 cm to 13 em,m,217.02,213.1,213.1,202.21
BWDB,40-700-20,Above 13 cm to 15 em,m,259.56,254.93,254.93,242.15
BWDB,40-700-30,Above 15 cm to 18 cm,m,299.49,294.15,294.15,279.29
BWDB,40-700-40,Above 18 cm to 20 cm,m,329.32,323.44,323.44,307.1
BWDB,40-700-50,Above 20 cm to 23 cm,m,366.02,359.49,359.49,341.33
BWDB,40-700-60,Above 23 cm.,m,439.17,431.35,431.35,409.55
BWDB,40-710-00,fitted with 20mm. dia bolts and nuts at} ™ . - - - 1.0m c/c etc. complete as per directoin of Engineer in charge: tion of Works ck oe BWDB Standard Schedule of Rates-,,179.0,40.0,710.0,20.0
BWDB,40-710-05,13 em to 15 em dia,m,219.32,219.22,219.22,217.72
BWDB,40-710-10,15 om to 18 cm dia,m,253.45,23492.0,23492.0,245.59
BWDB,40-710-20,Above 18 cm dia,m,282.84,261.23,261.23,268.72
BWDB,40-720-00,diameter >=,,40.0,720.0,8.0,10.0
